structure,operation,n,time_seconds
DoublyLinkedUnsorted,Predecessor,4000,0.000008000
DoublyLinkedUnsorted,Successor,4000,0.000008667
DoublyLinkedSorted,Search,4000,0.000012667
DoublyLinkedSorted,Insert,4000,0.000012667
DoublyLinkedSorted,Delete,4000,0.000000000
DoublyLinkedSorted,Max,4000,0.000000000
DoublyLinkedSorted,Min,4000,0.000000000
DoublyLinkedSorted,Predecessor,4000,0.000000000
DoublyLinkedSorted,Successor,4000,0.000000000
UnsortedArray,Search,8000,0.000007333
UnsortedArray,Insert,8000,0.000000000
UnsortedArray,Delete,8000,0.000000000
UnsortedArray,Max,8000,0.000005333
UnsortedArray,Min,8000,0.000006000
UnsortedArray,Predecessor,8000,0.000019333
UnsortedArray,Successor,8000,0.000020000
SortedArray,Search,8000,0.000000667
SortedArray,Insert,8000,0.000006000
SortedArray,Delete,8000,0.000000000
SortedArray,Max,8000,0.000000000
SortedArray,Min,8000,0.000000000
SortedArray,Predecessor,8000,0.000000000
SortedArray,Successor,8000,0.000000000
SinglyLinkedUnsorted,Search,8000,0.000016000
SinglyLinkedUnsorted,Insert,8000,0.000000000
SinglyLinkedUnsorted,Delete,8000,0.000016000
SinglyLinkedUnsorted,Max,8000,0.000016667
SinglyLinkedUnsorted,Min,8000,0.000015333
SinglyLinkedUnsorted,Predecessor,8000,0.000015333
SinglyLinkedUnsorted,Successor,8000,0.000016667
SinglyLinkedSorted,Search,8000,0.000028667
SinglyLinkedSorted,Insert,8000,0.000028667
SinglyLinkedSorted,Delete,8000,0.000031333
SinglyLinkedSorted,Max,8000,0.000029333
SinglyLinkedSorted,Min,8000,0.000000000
SinglyLinkedSorted,Predecessor,8000,0.000030000
SinglyLinkedSorted,Successor,8000,0.000000000
DoublyLinkedUnsorted,Search,8000,0.000018000
DoublyLinkedUnsorted,Insert,8000,0.000000000
DoublyLinkedUnsorted,Delete,8000,0.000000000
DoublyLinkedUnsorted,Max,8000,0.000018667
DoublyLinkedUnsorted,Min,8000,0.000019333
DoublyLinkedUnsorted,Predecessor,8000,0.000028000
DoublyLinkedUnsorted,Successor,8000,0.000029333
DoublyLinkedSorted,Search,8000,0.000032000
DoublyLinkedSorted,Insert,8000,0.000029333
DoublyLinkedSorted,Delete,8000,0.000000000
DoublyLinkedSorted,Max,8000,0.000000000
DoublyLinkedSorted,Min,8000,0.000000000
DoublyLinkedSorted,Predecessor,8000,0.000000000
DoublyLinkedSorted,Successor,8000,0.000000000
UnsortedArray,Search,16000,0.000012667
UnsortedArray,Insert,16000,0.000000000
UnsortedArray,Delete,16000,0.000000000
UnsortedArray,Max,16000,0.000017333
UnsortedArray,Min,16000,0.000014000
UnsortedArray,Predecessor,16000,0.000053333
UnsortedArray,Successor,16000,0.000057333
SortedArray,Search,16000,0.000000000
SortedArray,Insert,16000,0.000016000
SortedArray,Delete,16000,0.000000000
SortedArray,Max,16000,0.000000000
SortedArray,Min,16000,0.000000000
SortedArray,Predecessor,16000,0.000000000
SortedArray,Successor,16000,0.000000000
SinglyLinkedUnsorted,Search,16000,0.000031333
SinglyLinkedUnsorted,Insert,16000,0.000000000
SinglyLinkedUnsorted,Delete,16000,0.000032000
SinglyLinkedUnsorted,Max,16000,0.000041333
SinglyLinkedUnsorted,Min,16000,0.000030000
SinglyLinkedUnsorted,Predecessor,16000,0.000034667
SinglyLinkedUnsorted,Successor,16000,0.000032667
SinglyLinkedSorted,Search,16000,0.000080000
SinglyLinkedSorted,Insert,16000,0.000078667
SinglyLinkedSorted,Delete,16000,0.000107333
SinglyLinkedSorted,Max,16000,0.000102000
SinglyLinkedSorted,Min,16000,0.000000000
SinglyLinkedSorted,Predecessor,16000,0.000088667
SinglyLinkedSorted,Successor,16000,0.000000000
DoublyLinkedUnsorted,Search,16000,0.000039333
DoublyLinkedUnsorted,Insert,16000,0.000000667
DoublyLinkedUnsorted,Delete,16000,0.000000000
DoublyLinkedUnsorted,Max,16000,0.000035333
DoublyLinkedUnsorted,Min,16000,0.000035333
DoublyLinkedUnsorted,Predecessor,16000,0.000060000
DoublyLinkedUnsorted,Successor,16000,0.000062000
DoublyLinkedSorted,Search,16000,0.000078667
DoublyLinkedSorted,Insert,16000,0.000075333
DoublyLinkedSorted,Delete,16000,0.000000667
DoublyLinkedSorted,Max,16000,0.000000000
DoublyLinkedSorted,Min,16000,0.000000000
DoublyLinkedSorted,Predecessor,16000,0.000000000
DoublyLinkedSorted,Successor,16000,0.000000000
